#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
63,"Obstacle 1","Interpol",0,121,"alternative dance, alternative rock, indie rock, indietronica, modern rock, rock","Rock, Pop","Turn on the Bright Lights",2002-08-20,04:11,38,94,0,52,37,0,0,-5,F Major,4,2023-10-11,1v3H5oOSFpYcSAcgkhJYdp,"Soft Limit",7B,,https://i.scdn.co/image/ab67616d00004851d5190cbc786e5a28a7cfa818
64,"Words","Low",47,80,"chamber pop, dream pop, duluth indie, melancholia, shoegaze, slowcore","Pop, Folk/Acoustic, Rock","I Could Live In Hope",1994-01-01,05:48,35,21,9,62,23,0,10,-15,F Major,4,2023-10-11,01OXa5tVuCssU6j8TY7kxr,"Astralwerks",7B,,https://i.scdn.co/image/ab67616d000048518b7a5660aeb00a285ca66ffe
65,"Can't Cool Me Down","Car Seat Headrest",0,135,"furry, indie rock, pov: indie","Pop, Rock","Making a Door Less Open",2020-05-01,05:09,77,47,7,4,66,0,10,-8,G#/A♭ Major,4,2023-10-11,6L213U7finkGEfbxIyUDew,"Matador",4B,,https://i.scdn.co/image/ab67616d00004851962ca53ba96df449c656bf38
66,"Multi-Love","Unknown Mortal Orchestra",0,120,"art pop, indie rock, indie soul, indietronica, kiwi rock, neo-psychedelic, portland hip hop, psychedelic pop","Pop, Rock, R&B, Folk/Acoustic, Hip Hop","Multi-Love",2015-05-26,04:10,78,51,57,0,55,0,10,-5,D#/E♭ Minor,4,2023-10-11,0PEXp5yk0sx9dJ8JzwvjJb,"Jagjaguwar",2A,,https://i.scdn.co/image/ab67616d00004851ee70875d2ac4c16bdeba0191
67,"Alrighty Aphrodite","Peach Pit",70,82,"pov: indie, vancouver indie","Pop, Rock","Being So Normal",2018-06-28,03:27,53,72,1,9,50,0,10,-5,F#/G♭ Minor,4,2023-10-11,6OiRh4kttAs1YWglvTcYkB,"Columbia",11A,https://p.scdn.co/mp3-preview/7bb335ebd64d19bfa0e5679618806177d562b71a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485100b39b4a73d28536690b355c
68,"Stuck on the puzzle","Alex Turner",67,78,"sheffield indie","Rock","Submarine - Original Songs From The Film By Alex Turner",2011-03-14,03:31,58,68,8,3,77,0,10,-9,E Major,4,2023-10-11,3cUxncrTWSA9lhlQbuIwUY,"Domino Recording Co",12B,https://p.scdn.co/mp3-preview/8cc83756a448f2bae25fe525cdb4ff546ee33452?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851672951d44a35cb08092f2c1f
69,"forget her","girl in red",6,149,"bedroom pop, indie pop, norwegian indie, pov: indie","Pop, Electronic","we fell in love in october / forget her",2018-11-21,02:23,53,31,63,68,52,0,0,-17,D Major,4,2023-10-11,00gLisxOrLruNwJFdpkHc2,"world in red",10B,,https://i.scdn.co/image/ab67616d00004851eb13fbc012815ea6e834e842
70,"Brianstorm","Arctic Monkeys",73,165,"garage rock, modern rock, permanent wave, rock, sheffield indie","Rock","Favourite Worst Nightmare",2007-04-22,02:52,42,97,0,0,46,10,0,-5,C♯/D♭ Major,4,2023-10-11,7f9I5WdyXm5q1XqnSYgQZb,"Domino Recording Co",3B,https://p.scdn.co/mp3-preview/7707da4b7c6da930804e6c28bfe5d037c29ec0e3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b1f8da74f225fa1225cdface
71,"Pretty Visitors","Arctic Monkeys",66,83,"garage rock, modern rock, permanent wave, rock, sheffield indie","Rock","Humbug",2009-08-20,03:40,24,90,6,0,14,40,10,-6,F#/G♭ Minor,4,2023-10-11,45n7uujqwmMyBMjBu9SwRu,"Domino Recording Co",11A,https://p.scdn.co/mp3-preview/9b51be7cc979cd8725196b3322ba13c955724c76?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851f65d720a5d70dbb93e96d528
72,"We Used to Wait","Arcade Fire",48,121,"alternative rock, baroque pop, canadian indie, chamber pop, indie rock, indietronica, modern rock, permanent wave, quebec indie, rock","Rock, Pop","The Suburbs",2010-08-02,05:01,57,64,7,2,49,0,10,-7,G#/A♭ Major,4,2023-10-11,37EmPMVwdBaKs7UhJOkHUU,"Sony Music CG",4B,https://p.scdn.co/mp3-preview/c7e1bcdabe5ac119eb9de8c7c3d995e30f4795bf?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851532391d63cfd6d32677f7af6
