#,Song,Artist,Popularity,BPM,Genres,Parent Genres,Album,Album Date,Time,Dance,Energy,Acoustic,Instrumental,Happy,Speech,Live,Loud,Key,Time Signature,Added At,Spotify Track Id,Album Label,Camelot,"Spotify Track Img","Song Preview"
110,"No Reptiles","Everything Everything",49,155,"british indie rock, experimental pop, modern rock, new rave, northern irish indie, shimmer pop","Rock, Pop","Get To Heaven (Deluxe)",2015-06-22,04:42,63,52,3,0,38,0,10,-9,F Major,4,2023-10-11,1SN1gifVAKecU85lZggS8k,"RCA Records Label",7B,https://p.scdn.co/mp3-preview/5fc19b1f88778c4e395a71c64ac1cb2c4e4ad335?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851889741e4d5cfc40e4610770c
111,"Chaos Space Marine","Black Country, New Road",55,161,"crank wave, indie rock, london indie, uk post-punk revival","Rock","Ants From Up There",2022-02-04,03:36,36,55,20,0,44,0,20,-9,A Major,4,2023-10-11,2UEH1NjNHGsoEIr3GKLhNR,"Ninja Tune",11B,https://p.scdn.co/mp3-preview/aabdbc9a10406ecfd5e6c1e282a142041c20cd34?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851af2d88c14cb157d6b851dbb3
112,"circle the drain","Soccer Mommy",59,169,"art pop, bubblegrunge, indie pop, indie rock, small room","Pop, Rock","color theory",2020-02-28,04:40,48,79,30,0,47,0,10,-5,A Major,4,2023-10-11,2drtd6SptpMJ1KylMQ7mrE,"Loma Vista Recordings",11B,,https://i.scdn.co/image/ab67616d00004851c330e261afcd6e0ae256f3aa
113,"Blush","Wolf Alice",53,123,"indie rock, modern alternative rock, modern rock, scottish rock","Rock","My Love Is Cool (Deluxe Edition)",2016-02-05,04:19,33,44,16,0,9,0,10,-9,A Major,4,2023-10-11,1W5yUCcUuktqC5IWCYLSwf,"Dirty Hit",11B,https://p.scdn.co/mp3-preview/0ae0acfeba79fc59e3260848ca3aa07239993c4c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851923355f25442f18905ff8ef8
114,"Dirty Mouth","Alice Phoebe Lou",53,137,"south african alternative","World/Traditional","Glow",2021-03-19,02:54,52,55,13,0,29,0,10,-6,B Minor,4,2023-10-11,2xsDFbEZvMheWSGrN845gu,"Alice Phoebe Lou",10A,https://p.scdn.co/mp3-preview/2a7f0173cfb03f504de746b26f45fd2247395e49?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b5a24635844c9287489c1bf9
115,"midnight sun","Nilüfer Yanya",42,144,"art pop, uk alternative pop","Pop","PAINLESS",2022-03-04,04:42,66,83,2,0,40,0,20,-9,B Minor,4,2023-10-11,7FMG6KTqNPzTnPTDiMfyJs,"ATO Records",10A,https://p.scdn.co/mp3-preview/477defef940de60bcc9b9374a18435803d993aad?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485109deebfa040d94e1a20f241a
116,"Madonna","Snail Mail",42,123,"art pop, baltimore indie, bubblegrunge, indie pop, indie rock","Pop, Rock","Valentine",2021-11-05,02:53,71,63,7,0,61,0,20,-7,A#/B♭ Minor,4,2023-10-11,0ocqOdnVSxojdhFEodwjl0,"Matador",3A,https://p.scdn.co/mp3-preview/4e4fee34917be8c3de3d87e799242ec74d114a52?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e5217d54e15ea32912dbc06b
117,"the dealer","Nilüfer Yanya",40,130,"art pop, uk alternative pop","Pop","PAINLESS",2022-03-04,03:38,74,83,33,0,87,0,10,-8,F#/G♭ Minor,4,2023-10-11,5fw6jm1vm3YgewS0WsxJ1D,"ATO Records",11A,https://p.scdn.co/mp3-preview/b151d099861bdd85756ff9445ed1f260c40864b5?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485109deebfa040d94e1a20f241a
118,"Weird Fishes/ Arpeggi","Radiohead",75,153,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock","Rock, Folk/Acoustic","In Rainbows",2007-12-28,05:18,53,61,77,76,20,0,0,-8,B Minor,4,2023-10-11,4wajJ1o7jWIg62YqpkHC7S,"XL Recordings",10A,https://p.scdn.co/mp3-preview/84d22bb712ca5a5cc6d7f82ef097977e6b6d63e0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851de3c04b5fc750b68899b20a9
119,"We're Just Making It Worse","Cameron Avery,Alexandra Savior",44,104,"modern dream pop","Pop","We're Just Making It Worse",2020-12-07,04:04,72,46,74,1,47,0,0,-9,C♯/D♭ Minor,4,2023-10-11,0An092SY8oMh1yOZKVGGfB,"Cameron Avery & Alexandra Savior",12A,https://p.scdn.co/mp3-preview/3273182c5f8d38eef79a45b3f0b0f56ab620ae9b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b78c01e2996b52a16bef2f66
120,"Nara","alt-J",50,147,"indie rock, indietronica, modern alternative rock, modern rock, rock","Rock, Pop","This Is All Yours",2014-09-22,04:56,52,52,43,61,9,0,10,-8,B Minor,4,2023-10-11,4DxOrDtYmzeX3XJdJWcenP,"Infectious Music",10A,https://p.scdn.co/mp3-preview/f0d0d369d20ed833562e7208c14a288ca471d0e6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485173e8dbaf6c9b6ec2cd8ad722
121,"Always Like This","Bombay Bicycle Club",64,121,"british indie rock, chamber pop, indie rock, indietronica, modern rock, shimmer pop","Rock, Pop","I Had The Blues But I Shook Them Loose",2009-01-01,04:05,66,59,44,0,71,0,0,-7,C♯/D♭ Major,4,2023-10-11,73M2Vb5MfZh8iGKudkMtlw,"Universal-Island Records Ltd.",3B,,https://i.scdn.co/image/ab67616d00004851bb076ef98d5f02467a3be611
122,"Beautifully Unconventional","Wolf Alice",50,104,"indie rock, modern alternative rock, modern rock, scottish rock","Rock","Visions Of A Life",2017-09-29,02:13,75,84,2,0,66,0,20,-4,E Major,4,2023-10-11,05I2kbWf5P3xdCVQve7apz,"Dirty Hit",12B,https://p.scdn.co/mp3-preview/85b763f4b37fec14c7c1b0f12c2cc78ab0b13f60?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851204a933db2307265044f4e5d
123,"The Beach","Wolf Alice",55,108,"indie rock, modern alternative rock, modern rock, scottish rock","Rock","Blue Weekend",2021-06-04,02:35,70,35,25,58,28,0,10,-9,G#/A♭ Major,4,2023-10-11,7DPaVjS5QgtvhDTCp5xHOd,"Dirty Hit",4B,https://p.scdn.co/mp3-preview/b62c71009caa9dd9d94184395cbbcdba4d615b33?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e11f1ac4d5dce1bc5fec6703
124,"Body Paint","Arctic Monkeys",67,143,"garage rock, modern rock, permanent wave, rock, sheffield indie","Rock","The Car",2022-10-21,04:50,56,32,57,0,26,0,0,-12,G Minor,4,2023-10-11,42GuKw49pPxNAkIhWGwgFs,"Domino Recording Co",6A,https://p.scdn.co/mp3-preview/4c265bed88f5f26aec4e863e50e7952f86498419?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485107823ee6237208c835802663
125,"Mirage","Alexandra Savior",45,146,"modern dream pop","Pop","Belladonna of Sadness",2017-04-07,03:25,52,79,23,0,64,0,40,-6,E Minor,4,2023-10-11,0tqsuOjEpLLTScqmj7nNrR,"Columbia",9A,https://p.scdn.co/mp3-preview/3294a1d05b3b16c61c04a935a5cf8eb0858139cd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b9df7275ff80a60fa1272835
126,"Keep On Calling","Nilüfer Yanya",49,123,"art pop, uk alternative pop","Pop","Inside Out",2021-09-29,03:50,76,55,73,0,10,0,0,-7,F#/G♭ Minor,4,2023-10-11,35nfO92JtV6Nhv3CgHpS7P,"ATO Records",11A,https://p.scdn.co/mp3-preview/db8f33064fdee419ca117ea828ab1be38febe776?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fa3cc9f9454d17f753267dc8
127,"On The Radio","Spoon",38,128,"alternative rock, austindie, indie rock, modern rock","Rock, Folk/Acoustic","Lucifer On The Sofa",2022-02-11,03:19,68,90,6,0,70,0,20,-4,D Minor,4,2023-10-11,3C49SjmcPgBiR4KrlK0TBc,"Matador",7A,https://p.scdn.co/mp3-preview/fd2cf82afa2ba950ab8e8bd98addfd19b36f53d4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851bf9da915fb3a39eae51e6318
128,"Bravado","Lorde",56,88,"art pop, metropopolis, nz pop, pop","Pop, Electronic","The Love Club EP",2013-03-08,03:41,60,53,57,3,4,0,10,-10,G Major,4,2023-10-11,1vbnYODenOFCFWxYNRYw1N,"Universal Music New Zealand Limited",9B,,https://i.scdn.co/image/ab67616d00004851244fb8bb9594476ab5cb39b9
129,"Deadlines (Hostile)","Car Seat Headrest",53,115,"furry, indie rock, pov: indie","Pop, Rock","Making a Door Less Open",2020-05-01,04:21,67,55,1,0,58,0,20,-7,A Minor,4,2023-10-11,0eyQSNrnZ7vKs1q0bQlN8O,"Matador",8A,https://p.scdn.co/mp3-preview/ca39632102cc3c9ea3ad40207166beeb7325a138?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851df4ad77584998cd01e3a0c96
130,"company","Nilüfer Yanya",25,131,"art pop, uk alternative pop","Pop","PAINLESS",2022-03-04,03:46,63,29,64,0,37,0,10,-10,D Major,4,2023-10-11,51z0hV1NhWPZ9ctkOLOLWZ,"ATO Records",10B,https://p.scdn.co/mp3-preview/f5f19329312169c86d78a1c7aaea03190976d140?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485109deebfa040d94e1a20f241a
131,"Don’t Delete The Kisses","Wolf Alice",66,122,"indie rock, modern alternative rock, modern rock, scottish rock","Rock","Visions Of A Life",2017-09-29,04:35,60,79,0,83,35,0,30,-6,F Major,4,2023-10-11,1LomCMl5wD3MPVlC6smUHe,"Dirty Hit",7B,https://p.scdn.co/mp3-preview/f875b1304aec18e304c9181d9b745b264ce85531?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851204a933db2307265044f4e5d
132,"Birdhouse in Your Soul","They Might Be Giants",59,100,"comic, geek rock, permanent wave, zolo","Hip Hop, Rock","Flood",1990-01-02,03:18,61,82,0,0,45,0,20,-8,G#/A♭ Major,4,2023-10-11,6pmuu4qSz2WrtGkBjUfyuz,"Rhino",4B,https://p.scdn.co/mp3-preview/d97d6d040bdb1c9782c100924a26f84c84ecc9a2?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048517bf5a21b4cf1d79d08397539
133,"There’d Better Be A Mirrorball","Arctic Monkeys",67,72,"garage rock, modern rock, permanent wave, rock, sheffield indie","Rock","There’d Better Be A Mirrorball",2022-08-30,04:25,51,37,63,1,31,0,10,-11,D#/E♭ Major,4,2023-10-11,0yowbJnnbTLpr99f9l1uba,"Domino Recording Co",5B,https://p.scdn.co/mp3-preview/4eb1458a9279c068af57d0687f52393de6d45ec4?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485122ad6386462b75d7371aefae
134,"Bunker","Balthazar",58,107,"belgian indie, belgian rock, ghent indie","Rock","Thin Walls",2015-03-30,04:51,68,44,22,2,24,0,10,-9,A#/B♭ Minor,4,2023-10-11,7fhzES2ZyvdaD7jSwFOZrR,"Play It Again Sam",3A,https://p.scdn.co/mp3-preview/421cb18241e916a69c6241fbcb9b18f93bae9796?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851660a8d4cd492512f8f12ffd8
135,"From The Ritz To The Rubble","Arctic Monkeys",71,189,"garage rock, modern rock, permanent wave, rock, sheffield indie","Rock","Whatever People Say I Am, That's What I'm Not",2006-01-29,03:13,22,88,0,0,66,0,30,-5,B Minor,4,2023-10-11,2vQQfWTanvD99OeHLAoyhW,"Domino Recording Co",10A,https://p.scdn.co/mp3-preview/0c4d92f951ae45c2e31fe15f71ba74fa3b701cca?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516b3fa88bdd4af566fbbf2bbf
136,"The Unordained","Nilüfer Yanya",19,98,"art pop, uk alternative pop","Pop","Miss Universe",2019-03-22,03:22,84,23,79,0,51,0,10,-9,C♯/D♭ Major,4,2023-10-11,4rjfZ9WxpnpEJbMkahrCu2,"ATO Records",3B,https://p.scdn.co/mp3-preview/35b3ee081233848b50e21307f6a35358d956c569?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519c715b48db2048c942e2713c
137,"Big Ideas","Arctic Monkeys",63,67,"garage rock, modern rock, permanent wave, rock, sheffield indie","Rock","The Car",2022-10-21,03:57,55,33,66,0,34,0,10,-10,A Minor,3,2023-10-11,4KPi4VNvPOfKqIp1sx19Xf,"Domino Recording Co",8A,https://p.scdn.co/mp3-preview/5121ad9b3ec0e3a95e7c724f85dbe336038f01be?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485107823ee6237208c835802663
138,"Pharmacist","Alvvays",42,144,"art pop, chamber pop, dream pop, dreamo, indie pop, indie rock, noise pop, shoegaze, toronto indie","Pop, Rock","Blue Rev",2022-10-07,02:04,21,79,2,21,27,0,50,-5,D Major,4,2023-10-11,68AM2DBV5hnIxvrB9qZp1j,"Transgressive",10B,https://p.scdn.co/mp3-preview/b90865832535c6e7a33b775d101394a073a8b0e1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485128f1030e315741f2708da82f
139,"Andromeda","Weyes Blood",70,131,"art pop, chamber pop, experimental folk, experimental pop, indie pop","Pop, Folk/Acoustic","Titanic Rising",2019-04-05,04:40,47,46,37,0,19,0,30,-8,C♯/D♭ Minor,4,2023-10-11,51EMSRpNm9Rg5rGViVCczv,"Sub Pop Records",12A,https://p.scdn.co/mp3-preview/6026e44361cf28d7bfb3f823b7392eb4b4a3eefb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048510c64e752dec4c08362cc4a88
140,"Heavyweight Champion of the Year","Nilüfer Yanya",27,180,"art pop, uk alternative pop","Pop","Miss Universe",2019-03-22,04:42,64,27,78,0,42,0,0,-9,F#/G♭ Major,4,2023-10-11,3vPqxWHiAurokT5YYtAlym,"ATO Records",2B,https://p.scdn.co/mp3-preview/cb90c07d1cf4c29191a0bda14110bdd09c2776e1?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519c715b48db2048c942e2713c
141,"Change","Big Thief",63,133,"art pop, brooklyn indie, chamber pop, countrygaze, indie pop, indie rock, singer-songwriter, small room","Pop, Rock, Folk/Acoustic","Dragon New Warm Mountain I Believe In You",2022-02-11,04:55,63,16,83,0,55,0,20,-13,A#/B♭ Major,4,2023-10-11,3HFBqhotJeEKHJzMEW31jZ,"4AD",6B,https://p.scdn.co/mp3-preview/6f1eda21e5743b7cc644093a65fa3a57e1be7e7e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519ec66d199c19d227f5c37a68
142,"I Wanna Be Adored - Remastered","The Stone Roses",68,113,"britpop, dance rock, madchester","Pop, Rock","The Stone Roses",1989-05-02,04:52,49,86,1,21,59,0,20,-9,E Minor,4,2023-10-11,758wEKVqfYopJIHYWdLVd4,"Sony Music UK",9A,https://p.scdn.co/mp3-preview/64b634d8fa849d4f839eb86b28f29ed76d042bad?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851cf1f6466a493eb73d6d9d280
143,"Same Damn Luck","Nilüfer Yanya",37,98,"art pop, uk alternative pop","Pop","Feeling Lucky?",2020-12-11,03:26,87,51,17,0,89,0,10,-8,F#/G♭ Major,4,2023-10-11,1fe27iHrEI70G4Mwo0DHc6,"ATO Records",2B,https://p.scdn.co/mp3-preview/ce2e59069eee3d78027df021457cba541faa687d?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516484d987958cd164b1eef42e
144,"Wake Me up to Drive","Big Thief",45,131,"art pop, brooklyn indie, chamber pop, countrygaze, indie pop, indie rock, singer-songwriter, small room","Pop, Rock, Folk/Acoustic","Dragon New Warm Mountain I Believe In You",2022-02-11,03:43,68,65,66,1,68,0,10,-12,G Major,4,2023-10-11,07C3oEuCStuueA9cBYLRuL,"4AD",9B,https://p.scdn.co/mp3-preview/99d7f19ea98915ba4c29e8012038efbd1c5db1e9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519ec66d199c19d227f5c37a68
145,"Say, Can You Hear","Men I Trust",64,158,"indie pop, pov: indie","Pop","Say, Can You Hear",2018-11-30,03:09,62,40,78,76,49,0,10,-14,F#/G♭ Minor,4,2023-10-11,7JvjjlZ5R1I1xRDsEkPuJ7,"Independent",11A,https://p.scdn.co/mp3-preview/de50d6a2d27bcd10989133b5b8e1db05a6e78c36?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851eeae78397dd4ed3b988560e4
146,"Weird Goodbyes (feat. Bon Iver)","The National,Bon Iver",60,100,"chamber pop, indie folk, indie rock, indietronica, modern rock, eau claire indie, melancholia","Pop, Folk/Acoustic, Rock","Weird Goodbyes (feat. Bon Iver)",2022-08-22,05:03,52,56,30,0,72,0,0,-8,G#/A♭ Major,4,2023-10-11,2NbS9E0ZZKAMJAppj8P53N,"4AD",4B,https://p.scdn.co/mp3-preview/300865a2e7e303f2883683b73f59966f5555a4c7?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d0000485136fd765df91eeebe44c30810
147,"Good Will Hunting","Black Country, New Road",54,97,"crank wave, indie rock, london indie, uk post-punk revival","Rock","Ants From Up There",2022-02-04,04:57,59,36,22,0,37,0,10,-9,D Major,3,2023-10-11,0Ppd0oDauQpaQgNvpHzq24,"Ninja Tune",10B,https://p.scdn.co/mp3-preview/decf2ad2e41a7176be7d0744d243e6f170e40e9f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851af2d88c14cb157d6b851dbb3
148,"Expert In A Dying Field","The Beths",42,137,"auckland indie, bubblegrunge, indie rock, kiwi rock, modern power pop, nz indie","Rock, Pop","Expert In A Dying Field",2022-09-16,04:11,46,43,11,0,39,0,10,-10,C♯/D♭ Major,4,2023-10-11,21IuxxrTCrp7DqP9RhPZkx,"Carpark Records",3B,https://p.scdn.co/mp3-preview/a25c105dff99c45e2b3bfa566756c74438728ac0?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851129c475dae52b04877addc1c
149,"Sugar/Tzu","black midi",49,88,"crank wave, noise rock, uk noise rock, uk post-punk revival","Rock","Hellfire",2022-07-15,03:50,28,98,11,0,10,30,40,-4,C Major,4,2023-10-11,0DkazfLyVRaMvSkwycyyfT,"Rough Trade",8B,https://p.scdn.co/mp3-preview/f7f6f7c8fcd451c9e91fe33fca5f70486a55fa40?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851079bc2bd9ea16956274efc24
150,"The Only Place","Big Thief",45,117,"art pop, brooklyn indie, chamber pop, countrygaze, indie pop, indie rock, singer-songwriter, small room","Pop, Rock, Folk/Acoustic","Dragon New Warm Mountain I Believe In You",2022-02-11,03:14,45,25,93,0,37,0,10,-11,E Major,4,2023-10-11,1BzxTvgMM5Ve4acPQHYfL3,"4AD",12B,https://p.scdn.co/mp3-preview/1128bdc5cce4b7d72b17d755f78a0ed61dff2ae3?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519ec66d199c19d227f5c37a68
151,"Losers","Balthazar",42,113,"belgian indie, belgian rock, ghent indie","Rock","Losers",2020-10-29,03:25,86,39,10,5,67,0,10,-12,F Minor,4,2023-10-11,2JyX3yb7Z5LePP4uFaYB4O,"Play It Again Sam",4A,https://p.scdn.co/mp3-preview/6e7445c0b7d09778294d67433ca94c3c0875a4f6?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048516ed2daa39bd978e9a28bb53f
152,"The Florist","Nilüfer Yanya",40,120,"art pop, uk alternative pop","Pop","Inside Out",2021-09-29,03:21,80,31,35,0,26,0,10,-11,A Major,4,2023-10-11,6XWtPJdsl08S7g5h23PCX7,"ATO Records",11B,https://p.scdn.co/mp3-preview/2ebe768abc9fffd67914c91218e342428285397f?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851fa3cc9f9454d17f753267dc8
153,"White Leather","Wolf Alice",56,128,"indie rock, modern alternative rock, modern rock, scottish rock","Rock","My Love Is Cool (Deluxe Edition)",2016-02-05,02:36,73,36,86,2,26,0,10,-17,D Major,4,2023-10-11,57z2fiemiFjOkPBHtgCtOA,"Dirty Hit",10B,https://p.scdn.co/mp3-preview/157a1bb0778587384a585dad1940a4caf99abbf8?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851923355f25442f18905ff8ef8
154,"Francis Forever","Mitski",80,102,"brooklyn indie, pov: indie","Rock, Pop","Bury Me At Makeout Creek",2014-11-11,02:29,54,45,0,0,32,0,10,-9,D Major,4,2023-10-11,5411TEB6tlzvuF5A4oyldr,"Dead Oceans",10B,https://p.scdn.co/mp3-preview/2276985a29bfa3e712df49096ae58c204b13b94b?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851e90db8983ebd43b776694179
155,"The Place Where He Inserted the Blade","Black Country, New Road",59,123,"crank wave, indie rock, london indie, uk post-punk revival","Rock","Ants From Up There",2022-02-04,07:13,38,45,40,0,16,0,10,-8,B Major,3,2023-10-11,3k2kIiJqUiIP49iUcOLpWT,"Ninja Tune",1B,https://p.scdn.co/mp3-preview/3e2c293d5c5cf94c1bd1850f6d56b790c428f172?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851af2d88c14cb157d6b851dbb3
156,"Being In Love","Wet Leg",63,126,"crank wave, indie rock","Rock","Wet Leg",2022-04-08,02:02,72,69,1,11,34,0,10,-5,A Minor,4,2023-10-11,4VBE0mwU8Nmm8hiqfCe4Ve,"Domino Recording Co",8A,https://p.scdn.co/mp3-preview/7cc98539bca44731131f7fa0ccae5da9ee101b8e?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851ea1126a33b0fb88e79915262
157,"Reckoner","Radiohead",67,104,"alternative rock, art rock, melancholia, oxford indie, permanent wave, rock","Rock, Folk/Acoustic","In Rainbows",2007-12-28,04:50,52,66,51,16,21,0,0,-7,E Minor,4,2023-10-11,02ppMPbg1OtEdHgoPqoqju,"XL Recordings",9A,https://p.scdn.co/mp3-preview/b96dbc431830c75665f150959a628cebff536158?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851de3c04b5fc750b68899b20a9
158,"Can't Help Myself","Alexandra Savior",61,118,"modern dream pop","Pop","The Archer",2020-01-10,02:42,48,85,42,84,32,0,70,-6,C Major,4,2023-10-11,4deGKv9FPq1G0JDsXhqQPe,"30th Century Records",8B,https://p.scdn.co/mp3-preview/593a887f6a9300914309181c4aab30a3bec7932c?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851eb760b9bd3cf6c0e0867f06e
159,"Up Song - Live at Bush Hall","Black Country, New Road",48,163,"crank wave, indie rock, london indie, uk post-punk revival","Rock","Live at Bush Hall",2023-03-24,04:20,37,51,37,6,35,0,10,-7,G Major,4,2023-10-11,3b6suhvxtWPIF0tZe5xDCL,"Ninja Tune",9B,https://p.scdn.co/mp3-preview/0ec3c08add0787b95868da37ed53527b17bd6ccb?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b321f97b68c6b5bd23ba0cdb
160,"Basketball Shoes","Black Country, New Road",51,91,"crank wave, indie rock, london indie, uk post-punk revival","Rock","Ants From Up There",2022-02-04,12:37,28,45,2,0,7,0,0,-9,G Major,3,2023-10-11,4ShVovnLIlObG43vwaCRkJ,"Ninja Tune",9B,https://p.scdn.co/mp3-preview/e947ee4accc94852078f8058518fd8dec337df54?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851af2d88c14cb157d6b851dbb3
161,"Lydia Wears A Cross","Julia Jacklin",42,106,"chamber pop, countrygaze, indie pop, sydney indie","Pop, Folk/Acoustic, Rock","PRE PLEASURE",2022-08-26,04:01,58,44,63,0,74,0,10,-9,C♯/D♭ Major,4,2023-10-11,0rrlzT8FMPBClTiw7IhztC,"Transgressive",3B,https://p.scdn.co/mp3-preview/d9924a8c9eed89a223bcdd2a156914b9690a3460?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851d0ca9bc6272f1ebd893bb256
162,"The Boy - Live at Bush Hall","Black Country, New Road",44,121,"crank wave, indie rock, london indie, uk post-punk revival","Rock","Live at Bush Hall",2023-03-24,06:16,38,50,69,0,21,0,70,-9,C Major,4,2023-10-11,2nKO3ntEmAdfALgKXCG5xV,"Ninja Tune",8B,https://p.scdn.co/mp3-preview/fd69da72878588b4983e5b676760c72c12e21ef9?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851b321f97b68c6b5bd23ba0cdb
163,"Anti-Curse","boygenius,Julien Baker,Phoebe Bridgers,Lucy Dacus",62,115,"indie pop, ambient folk, indie rock, la indie, pov: indie, chamber pop","Folk/Acoustic, Pop, Rock","the record",2023-03-31,03:18,53,60,4,23,14,0,10,-10,C Major,4,2023-10-11,4LOg3dKvCAJiF9NYC7YqzG,"boygenius under exclusive license to Interscope Records",8B,,https://i.scdn.co/image/ab67616d0000485143fc02bcfa7cd4e6bb66aa22
164,"Pristine","Snail Mail",0,126,"art pop, baltimore indie, bubblegrunge, indie pop, indie rock","Pop, Rock","Lush",2018-06-08,04:55,48,70,0,0,29,0,10,-5,C Major,4,2023-10-11,4UADR6fNQfx4fxkiRQvSy2,"Matador",8B,,https://i.scdn.co/image/ab67616d000048513179365772a26544d8be0493
165,"Paradise","Nilüfer Yanya",35,130,"art pop, uk alternative pop","Pop","Miss Universe",2019-03-22,03:58,80,40,35,0,50,0,10,-9,B Minor,4,2023-10-11,3euaWdMJk9cxFHdxEEOj2j,"ATO Records",10A,https://p.scdn.co/mp3-preview/6584ea7347bc2b0f76ca4781a16b70e66ca366fd?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d000048519c715b48db2048c942e2713c
166,"Hearts Aglow","Weyes Blood",48,109,"art pop, chamber pop, experimental folk, experimental pop, indie pop","Pop, Folk/Acoustic","And In The Darkness, Hearts Aglow",2022-11-18,05:49,42,50,72,26,12,0,10,-9,A Major,3,2023-10-11,1FcUc6un64dEBZ53iFuO6M,"Sub Pop Records",11B,https://p.scdn.co/mp3-preview/869347cce733fde2add4d90e0cc4d2a87561246a?cid=0dd13485836e45ac9134860ee53d835f,https://i.scdn.co/image/ab67616d00004851db8ab490bcedb6e518c37e6e
